Term,Frequency
chicken,5410
water,4068
pizza,3454
cheese,2834
coffee,2723
wine,2404
cream,2201
milk,2166
meat,2094
dog,2087
cake,2067
ice,2066
bread,1909
beer,1628
chocolate,1591
salad,1566
cookies,1527
Apple,1451
vegan,1369
fruit,1255
eggs,1180
sauce,1124
breakfast,1043
snacks,1038
candy,1035
organic,1011
chicken,1005
oil,991
butter,933
beef,932
chips,930
sandwich,920
meal,911
liquor,860
wings,817
diet,780
juice,765
rice,738
tea,737
sugar,729
alcohol,728
fish,716
turkey,714
orange,701
drinking,691
rotisserie,685
sushi,676
soup,627
bakery,623
bacon,600
apple,598
cereal,598
Pizza,575
cookie,553
cooking,543
Coffee,528
Wine,519
protein,503
drinks,500
freezer,492
cheese,490
beans,486
fridge,483
nuts,480
pork,475
ingredients,475
kitchen,474
veggies,472
steak,465
pasta,461
bake,461
orange,460
homemade,459
potatoes,455
egg,451
shrimp,441
bananas,435
cakes,434
salmon,427
sandwiches,425
Bread,422
banana,417
corn,412
honey,411
potato,411
soda,401
chip,401
Breakfast,397
garlic,390
salt,389
sausage,388
vegetables,388
peanut,386
popcorn,384
canned,377
cooked,376
crab,375
fruits,373
grapes,372
onions,370
pepper,370
tomatoes,366
yogurt,362
keto,358
chill,358
donuts,356
hotdog,343
burgers,337
tacos,337
burger,336
spicy,332
grill,330
mortonsalt,323
BBQ,322
almond,319
Cedar,314
baked,314
Bakery,313
Cream,305
Chocolate,303
strawberries,301
lettuce,299
meats,298
